epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1036,0.77453,2.2218,1.30163,0.98643,1,0.995,0.8929,0.40492,4.06584,1.03387,0.000466612,0.000466612,0.000466612
2,54.3186,0.59449,0.87326,1.23575,0.99758,1,0.995,0.92327,0.38236,0.4097,0.88605,0.000924275,0.000924275,0.000924275
3,75.821,0.59583,0.60264,1.23413,0.99586,1,0.995,0.91467,0.37822,0.3115,0.9466,0.00136308,0.00136308,0.00136308
4,97.9075,0.57786,0.51928,1.23195,0.99608,1,0.995,0.91651,0.36872,0.31805,0.87225,0.00134412,0.00134412,0.00134412
5,119.009,0.53605,0.47621,1.21954,0.99267,1,0.995,0.92583,0.35885,0.28939,0.91437,0.00131582,0.00131582,0.00131582
6,141.47,0.53151,0.43613,1.20232,0.98413,1,0.995,0.91979,0.35326,0.30345,0.88833,0.00128753,0.00128753,0.00128753
7,163.085,0.52201,0.41496,1.24342,0.99701,1,0.995,0.9539,0.34577,0.25153,0.92197,0.00125923,0.00125923,0.00125923
8,184.973,0.49678,0.39534,1.22649,0.99779,1,0.995,0.97599,0.29802,0.25012,0.87613,0.00123094,0.00123094,0.00123094
9,207.223,0.48626,0.37748,1.2102,0.99695,1,0.995,0.95405,0.32479,0.25328,0.84724,0.00120265,0.00120265,0.00120265
10,229.071,0.47807,0.38095,1.19915,0.99551,1,0.995,0.9579,0.29687,0.24598,0.86943,0.00117435,0.00117435,0.00117435
11,252.067,0.47237,0.37843,1.20685,0.99608,1,0.995,0.96762,0.28148,0.23066,0.86934,0.00114606,0.00114606,0.00114606
12,273.162,0.43007,0.35161,1.16587,0.99092,1,0.995,0.97742,0.26564,0.22835,0.87731,0.00111776,0.00111776,0.00111776
13,296.148,0.44908,0.36244,1.18786,0.99696,1,0.995,0.9658,0.28796,0.21936,0.88062,0.00108947,0.00108947,0.00108947
14,316.154,0.44315,0.34529,1.19043,0.99712,1,0.995,0.96732,0.29189,0.22196,0.85502,0.00106118,0.00106118,0.00106118
15,338.276,0.43117,0.3381,1.18137,0.9965,1,0.995,0.97125,0.28953,0.23254,0.83823,0.00103288,0.00103288,0.00103288
16,359.368,0.43301,0.33725,1.20534,0.99667,1,0.995,0.96912,0.30427,0.23795,0.87782,0.00100459,0.00100459,0.00100459
17,381.841,0.43436,0.33757,1.20849,0.99687,1,0.995,0.971,0.27572,0.23084,0.90487,0.000976293,0.000976293,0.000976293
18,402.721,0.42577,0.33622,1.19706,0.99673,1,0.995,0.98562,0.27008,0.2359,0.86619,0.000947999,0.000947999,0.000947999
19,425.072,0.40951,0.31963,1.16306,0.99763,1,0.995,0.97858,0.25912,0.21739,0.86454,0.000919704,0.000919704,0.000919704
20,446.093,0.40011,0.31918,1.18582,0.99618,1,0.995,0.98032,0.2537,0.20722,0.85183,0.00089141,0.00089141,0.00089141
