epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.552,0.64246,2.94729,0.95141,0.00387,1,0.3859,0.33643,0.46211,3.3497,0.82969,0.000275,0.000275,0.000275
2,313.348,0.6342,1.73884,0.93528,1,0.22881,0.67913,0.57811,0.52765,3.12643,0.85808,0.000556931,0.000556931,0.000556931
3,460.261,0.66001,1.51611,0.96585,0.97328,0.42604,0.9213,0.78211,0.5848,3.32846,0.89443,0.00083317,0.00083317,0.00083317
4,607.713,0.61454,1.31921,0.94737,0.85317,0.57755,0.80323,0.70398,0.52665,3.30744,0.87554,0.00110372,0.00110372,0.00110372
5,742.259,0.60331,1.21915,0.96422,0.78359,0.49812,0.64574,0.56279,0.54305,3.06283,0.89086,0.0012005,0.0012005,0.0012005
6,876.195,0.58448,1.14088,0.94812,0.79344,0.93561,0.96102,0.82877,0.54608,1.86109,0.91454,0.00118812,0.00118812,0.00118812
7,1006.53,0.60295,1.06336,0.95352,0.75298,0.64992,0.77309,0.66618,0.50346,2.11581,0.89235,0.00117575,0.00117575,0.00117575
8,1135.07,0.51289,0.95033,0.90525,0.98059,0.98684,0.98226,0.86427,0.50368,1.14934,0.88993,0.00116337,0.00116337,0.00116337
9,1264.11,0.51265,0.88255,0.93332,0.97724,0.98448,0.98198,0.90011,0.3959,0.88044,0.83865,0.001151,0.001151,0.001151
10,1388.22,0.51402,0.82485,0.92758,0.98073,0.98684,0.98218,0.88476,0.45178,0.8414,0.86588,0.00113863,0.00113863,0.00113863
11,1516.49,0.50894,0.73464,0.91195,0.96665,0.98684,0.98432,0.91047,0.39288,0.7801,0.84046,0.00112625,0.00112625,0.00112625
12,1651.79,0.48294,0.71769,0.91523,0.98458,0.98684,0.98464,0.90427,0.38765,0.6853,0.83615,0.00111388,0.00111388,0.00111388
13,1780.15,0.4759,0.66372,0.91066,0.98147,0.98684,0.98361,0.91529,0.38656,0.67037,0.83422,0.0011015,0.0011015,0.0011015
14,1912.67,0.46934,0.62232,0.9081,0.98361,0.98684,0.98575,0.91691,0.36928,0.61011,0.81902,0.00108913,0.00108913,0.00108913
15,2038.65,0.47833,0.64451,0.94141,0.98236,0.98684,0.98346,0.91227,0.37006,0.57885,0.82165,0.00107675,0.00107675,0.00107675
16,2161.4,0.51043,0.58715,0.9037,0.88693,0.9173,0.9906,0.91708,0.3642,0.87434,0.81948,0.00106437,0.00106437,0.00106437
17,2283.99,0.49074,0.5789,0.9072,0.9801,0.98684,0.98168,0.91518,0.36872,0.5443,0.82029,0.001052,0.001052,0.001052
18,2406.56,0.48522,0.55406,0.9051,0.98146,0.98684,0.98505,0.90775,0.39336,0.50675,0.83316,0.00103962,0.00103962,0.00103962
19,2534.23,0.47117,0.56415,0.90547,0.9833,0.98684,0.983,0.92002,0.33916,0.50118,0.80879,0.00102725,0.00102725,0.00102725
20,2661.88,0.47048,0.55042,0.92089,0.98242,0.98684,0.9874,0.92497,0.36259,0.46677,0.81625,0.00101488,0.00101488,0.00101488
