epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6645,0.84338,1.89172,1.34439,0.98951,1,0.99472,0.91827,0.4243,0.7153,1.13967,0.000464425,0.000464425,0.000464425
2,39.5961,0.63626,0.64842,1.25559,0.98726,0.99291,0.99125,0.93201,0.39853,0.38042,1.11318,0.000922131,0.000922131,0.000922131
3,57.3494,0.63392,0.51582,1.25381,0.94857,0.97755,0.99132,0.93316,0.41343,0.42274,1.08196,0.00136097,0.00136097,0.00136097
4,74.8645,0.61629,0.46958,1.23204,0.99615,0.99291,0.99486,0.94682,0.37948,0.29218,1.05599,0.00134412,0.00134412,0.00134412
5,92.5314,0.61569,0.44541,1.24776,0.99698,1,0.995,0.94821,0.38598,0.30203,1.08699,0.00131582,0.00131582,0.00131582
6,110.142,0.58258,0.43252,1.24709,0.76504,0.87234,0.95009,0.90756,0.37414,0.72451,1.0665,0.00128753,0.00128753,0.00128753
7,126.842,0.60342,0.43245,1.24245,0.99603,1,0.995,0.96109,0.3628,0.30773,1.02998,0.00125923,0.00125923,0.00125923
8,143.608,0.56141,0.41081,1.22158,0.99011,1,0.99486,0.94568,0.36391,0.26652,1.102,0.00123094,0.00123094,0.00123094
9,160.17,0.57347,0.39735,1.23509,0.99717,1,0.995,0.96916,0.31705,0.27745,1.07379,0.00120265,0.00120265,0.00120265
10,176.994,0.53907,0.40631,1.19051,0.99609,1,0.995,0.95694,0.34567,0.27673,1.08301,0.00117435,0.00117435,0.00117435
11,195.09,0.55746,0.39671,1.21572,0.99708,1,0.995,0.95622,0.34167,0.26724,1.08472,0.00114606,0.00114606,0.00114606
12,212.006,0.53091,0.38745,1.19067,0.99732,1,0.995,0.96744,0.34407,0.28133,1.05107,0.00111776,0.00111776,0.00111776
13,228.986,0.5318,0.3833,1.21865,0.99024,1,0.995,0.95669,0.33477,0.2746,1.04139,0.00108947,0.00108947,0.00108947
14,246.075,0.52311,0.36722,1.2003,0.99735,1,0.995,0.97474,0.31943,0.25975,1.04174,0.00106118,0.00106118,0.00106118
15,262.999,0.51442,0.36999,1.20089,0.99631,0.99833,0.995,0.9681,0.33813,0.27269,1.0498,0.00103288,0.00103288,0.00103288
16,281.496,0.50731,0.3718,1.20821,0.99749,1,0.995,0.9788,0.29341,0.27002,1.04674,0.00100459,0.00100459,0.00100459
17,298.743,0.48261,0.34551,1.17168,0.85675,0.9078,0.99,0.97006,0.30344,0.51757,1.02704,0.000976293,0.000976293,0.000976293
18,315.607,0.48642,0.3541,1.18911,0.99716,1,0.995,0.98135,0.29221,0.23627,1.03993,0.000947999,0.000947999,0.000947999
19,332.568,0.49279,0.35366,1.18714,0.99785,1,0.995,0.97536,0.31965,0.26598,1.0288,0.000919704,0.000919704,0.000919704
20,349.173,0.46878,0.34216,1.17245,0.99749,1,0.995,0.98066,0.28319,0.23433,1.04842,0.00089141,0.00089141,0.00089141
21,367.619,0.48631,0.3493,1.18718,0.99451,0.99247,0.995,0.97877,0.27945,0.23777,1.0563,0.000863116,0.000863116,0.000863116
22,384.641,0.48451,0.3491,1.19585,0.99706,1,0.995,0.97626,0.28426,0.23971,1.02048,0.000834822,0.000834822,0.000834822
23,401.404,0.4593,0.32635,1.17313,0.99273,1,0.995,0.98413,0.25602,0.21771,1.05957,0.000806528,0.000806528,0.000806528
24,418.22,0.45225,0.33043,1.17641,0.99102,1,0.995,0.98155,0.27093,0.25422,1.0394,0.000778233,0.000778233,0.000778233
25,434.768,0.44877,0.31936,1.17807,0.99803,1,0.995,0.98353,0.26508,0.21695,1.02772,0.000749939,0.000749939,0.000749939
26,452.428,0.45197,0.33699,1.17443,0.99748,1,0.995,0.97938,0.26172,0.22615,1.01695,0.000721645,0.000721645,0.000721645
27,470.078,0.44043,0.3191,1.15985,0.99725,1,0.995,0.98444,0.26496,0.22042,1.01232,0.000693351,0.000693351,0.000693351
28,486.896,0.43445,0.31656,1.1564,0.99688,1,0.995,0.97861,0.28119,0.22202,1.02207,0.000665057,0.000665057,0.000665057
29,503.382,0.4277,0.31908,1.16101,0.99842,1,0.995,0.98542,0.2358,0.19729,1.01227,0.000636762,0.000636762,0.000636762
30,520.07,0.42754,0.30683,1.15574,0.99794,1,0.995,0.98636,0.25348,0.21659,1.03184,0.000608468,0.000608468,0.000608468
31,536.854,0.42193,0.31062,1.16247,0.98217,0.99211,0.995,0.98233,0.25639,0.22971,1.00858,0.000580174,0.000580174,0.000580174
32,554.509,0.42909,0.31591,1.15797,0.99719,1,0.995,0.98439,0.25904,0.21329,1.01508,0.00055188,0.00055188,0.00055188
33,571.58,0.42815,0.31035,1.14825,0.99805,1,0.995,0.98757,0.24158,0.20125,1.04142,0.000523586,0.000523586,0.000523586
34,588.284,0.4071,0.29951,1.15303,0.99614,0.99794,0.995,0.9875,0.24808,0.2121,0.99949,0.000495291,0.000495291,0.000495291
35,605.01,0.41738,0.30155,1.15453,0.99671,1,0.995,0.98642,0.24335,0.21354,1.01199,0.000466997,0.000466997,0.000466997
36,621.415,0.40804,0.29695,1.1799,0.99695,1,0.995,0.98612,0.23598,0.20167,1.01483,0.000438703,0.000438703,0.000438703
37,637.965,0.38803,0.27966,1.13389,0.99627,0.99962,0.995,0.98614,0.24017,0.19147,1.01163,0.000410409,0.000410409,0.000410409
38,656.121,0.39479,0.29231,1.15131,0.99737,1,0.995,0.98799,0.23178,0.20084,1.01207,0.000382115,0.000382115,0.000382115
39,673.448,0.39045,0.28366,1.13441,0.99666,1,0.995,0.98591,0.23484,0.20759,1.00322,0.00035382,0.00035382,0.00035382
